DATE,CSUSHPISA
1987-01-01,63.964
1987-02-01,64.422
1987-03-01,64.735
1987-04-01,65.133
1987-05-01,65.564
1987-06-01,66.071
1987-07-01,66.507
1987-08-01,66.937
1987-09-01,67.329
1987-10-01,67.737
1987-11-01,68.10600000000001
1987-12-01,68.505
1988-01-01,68.857
1988-02-01,69.262
1988-03-01,69.638
1988-04-01,69.976
1988-05-01,70.425
1988-06-01,70.887
1988-07-01,71.35300000000001
1988-08-01,71.79899999999999
1988-09-01,72.24
1988-10-01,72.635
1988-11-01,73.071
1988-12-01,73.464
1989-01-01,73.946
1989-02-01,74.381
1989-03-01,74.779
1989-04-01,75.086
1989-05-01,75.306
1989-06-01,75.479
1989-07-01,75.657
1989-08-01,75.834
1989-09-01,76.055
1989-10-01,76.282
1989-11-01,76.521
1989-12-01,76.705
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.20100000000001
1990-04-01,77.279
1990-05-01,77.297
1990-06-01,77.258
1990-07-01,77.138
1990-08-01,77.008
1990-09-01,76.84899999999999
1990-10-01,76.7
1990-11-01,76.37100000000001
1990-12-01,76.185
1991-01-01,75.915
1991-02-01,75.734
1991-03-01,75.569
1991-04-01,75.565
1991-05-01,75.765
1991-06-01,75.992
1991-07-01,76.082
1991-08-01,76.109
1991-09-01,76.194
1991-10-01,76.074
1991-11-01,76.015
1991-12-01,76.056
1992-01-01,76.085
1992-02-01,76.155
1992-03-01,76.27600000000001
1992-04-01,76.345
1992-05-01,76.39699999999999
1992-06-01,76.332
1992-07-01,76.263
1992-08-01,76.23
1992-09-01,76.238
1992-10-01,76.376
1992-11-01,76.559
1992-12-01,76.67399999999999
1993-01-01,76.78399999999999
1993-02-01,76.837
1993-03-01,76.868
1993-04-01,76.936
1993-05-01,77.03699999999999
1993-06-01,77.242
1993-07-01,77.429
1993-08-01,77.612
1993-09-01,77.794
1993-10-01,77.941
1993-11-01,78.148
1993-12-01,78.32600000000001
1994-01-01,78.59100000000001
1994-02-01,78.727
1994-03-01,78.85600000000001
1994-04-01,78.987
1994-05-01,79.222
1994-06-01,79.423
1994-07-01,79.595
1994-08-01,79.782
1994-09-01,79.92
1994-10-01,80.065
1994-11-01,80.15
1994-12-01,80.296
1995-01-01,80.42699999999999
1995-02-01,80.528
1995-03-01,80.598
1995-04-01,80.661
1995-05-01,80.703
1995-06-01,80.78399999999999
1995-07-01,80.937
1995-08-01,81.11
1995-09-01,81.306
1995-10-01,81.482
1995-11-01,81.619
1995-12-01,81.737
1996-01-01,81.835
1996-02-01,81.954
1996-03-01,82.194
1996-04-01,82.421
1996-05-01,82.61
1996-06-01,82.75200000000001
1996-07-01,82.928
1996-08-01,83.087
1996-09-01,83.257
1996-10-01,83.37700000000001
1996-11-01,83.553
1996-12-01,83.721
1997-01-01,83.956
1997-02-01,84.181
1997-03-01,84.45200000000001
1997-04-01,84.62299999999999
1997-05-01,84.86200000000001
1997-06-01,85.08
1997-07-01,85.33200000000001
1997-08-01,85.573
1997-09-01,85.851
1997-10-01,86.147
1997-11-01,86.632
1997-12-01,87.09299999999999
1998-01-01,87.615
1998-02-01,88.00299999999999
1998-03-01,88.44200000000001
1998-04-01,88.87899999999999
1998-05-01,89.363
1998-06-01,89.844
1998-07-01,90.31
